tournament,stage,match_type,match_name,map,team_a,team_a_score,team_a_attacker_score,team_a_defender_score,team_a_overtime_score,team_b,team_b_score,team_b_attacker_score,team_b_defender_score,team_b_overtime_score,duration
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Karmine Corp vs FUT Esports,Pearl,Karmine Corp,14,6,6,2,FUT Esports,12,6,6,0,1:26:37
VCT 2025: EMEA Stage 1,Playoffs,Upper Round 1,FNATIC vs FUT Esports,Lotus,FNATIC,13,8,5,0,FUT Esports,6,2,4,0,1:01:36
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Team Secret vs ZETA DIVISION,Icebox,Team Secret,10,5,5,0,ZETA DIVISION,13,6,7,0,54:47
VCT 2025: Pacific Stage 1,Group Stage,Week 3,DRX vs Global Esports,Ascent,DRX,13,9,4,0,Global Esports,3,0,3,0,54:03
VCT 2025: Pacific Stage 1,Playoffs,Upper Round 1,DRX vs T1,Lotus,DRX,15,5,7,3,T1,13,5,7,1,1:07:27
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,2Game Esports vs FURIA,Haven,2Game Esports,7,5,2,0,FURIA,13,6,7,0,54:22
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Bind,G2 Esports,13,3,10,0,Mega Minors,11,2,9,0,1:07:17
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Team Vitality vs Team Heretics,Haven,Team Vitality,11,7,4,0,Team Heretics,13,8,5,0,55:37
VCT 2025: China Stage 2,Playoffs,Lower Round 1,EDward Gaming vs Trace Esports,Lotus,EDward Gaming,7,7,0,0,Trace Esports,13,8,5,0,56:26
VCT 2025: China Stage 2,Playoffs,Upper Semifinals,Bilibili Gaming vs TYLOO,Icebox,Bilibili Gaming,9,5,4,0,TYLOO,13,6,7,0,49:53
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,Team Heretics,1,1,0,0,Paper Rex,13,2,11,0,28:55
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,Bind,Karmine Corp,14,7,5,2,GIANTX,12,7,5,0,1:19:57
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,Sentinels vs 100 Thieves,Bind,Sentinels,13,7,6,0,100 Thieves,9,4,5,0,54:05
VCT 2025: EMEA Stage 2,Playoffs,Upper Final,BBL Esports vs Team Liquid,Bind,BBL Esports,12,7,5,0,Team Liquid,14,7,5,2,56:20
VCT 2025: China Stage 2,Group Stage,Week 3,Bilibili Gaming vs Trace Esports,Ascent,Bilibili Gaming,6,4,2,0,Trace Esports,13,5,8,0,41:43
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Paper Rex vs ZETA DIVISION,Fracture,Paper Rex,13,6,7,0,ZETA DIVISION,8,2,6,0,45:05
VCT 2025: Americas Stage 2,Group Stage,Week 3,LOUD vs KRÜ Esports,Bind,LOUD,13,8,5,0,KRÜ Esports,9,5,4,0,45:15
VCT 2025: Pacific Stage 2,Playoffs,Upper Final,TALON vs Paper Rex,Bind,TALON,7,4,3,0,Paper Rex,13,5,8,0,34:07
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Vitality vs GIANTX,Split,Team Vitality,13,9,4,0,GIANTX,9,6,3,0,1:16:15
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,FUT Esports vs Team Vitality,Fracture,FUT Esports,13,6,7,0,Team Vitality,7,1,6,0,1:06:15
VCT 2025: Pacific Stage 1,Group Stage,Week 1,TALON vs Team Secret,Pearl,TALON,5,5,0,0,Team Secret,13,6,7,0,51:36
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,T1 vs Paper Rex,Lotus,T1,2,2,0,0,Paper Rex,13,3,10,0,33:01
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Apeks vs Karmine Corp,Icebox,Apeks,7,5,2,0,Karmine Corp,13,6,7,0,48:44
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Natus Vincere vs Karmine Corp,Corrode,Natus Vincere,13,9,4,0,Karmine Corp,8,5,3,0,45:07
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Team Liquid vs KOI,Lotus,Team Liquid,13,7,6,0,KOI,9,4,5,0,58:57
VCT 2025: Pacific Stage 1,Group Stage,Week 5,DRX vs Gen.G,Ascent,DRX,13,4,9,0,Gen.G,9,1,8,0,44:43
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,BBL Esports vs Team Liquid,Pearl,BBL Esports,13,9,4,0,Team Liquid,9,6,3,0,56:12
VCT 2025: Pacific Stage 2,Group Stage,Week 4,T1 vs DetonatioN FocusMe,Sunset,T1,13,9,4,0,DetonatioN FocusMe,6,3,3,0,44:37
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Vitality vs FNATIC,Haven,Team Vitality,10,9,1,0,FNATIC,13,10,3,0,1:00:25
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Rex Regum Qeon vs ZETA DIVISION,Haven,Rex Regum Qeon,13,5,8,0,ZETA DIVISION,9,2,7,0,46:50
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Xi Lai Gaming vs Nova Esports,Ascent,Xi Lai Gaming,13,10,3,0,Nova Esports,2,0,2,0,34:09
VCT 2025: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Pearl,Evil Geniuses,6,5,1,0,Sentinels,13,6,7,0,48:01
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,TALON vs Global Esports,Split,TALON,6,2,4,0,Global Esports,13,3,10,0,54:35
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Paper Rex,13,8,5,0,Xi Lai Gaming,5,1,4,0,39:04
VCT 2025: Americas Stage 2,Group Stage,Week 3,LOUD vs KRÜ Esports,Ascent,LOUD,4,4,0,0,KRÜ Esports,13,5,8,0,38:39
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Nongshim RedForce vs Team Secret,Ascent,Nongshim RedForce,13,6,7,0,Team Secret,10,4,6,0,54:32
VCT 2025: China Stage 2,Group Stage,Week 1,Bilibili Gaming vs TYLOO,Bind,Bilibili Gaming,13,9,4,0,TYLOO,5,2,3,0,54:01
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,Team Liquid vs Natus Vincere,Ascent,Team Liquid,13,6,7,0,Natus Vincere,8,2,6,0,42:26
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Titan Esports Club vs Dragon Ranger Gaming,Lotus,Titan Esports Club,16,8,4,4,Dragon Ranger Gaming,18,8,4,6,1:19:41
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Global Esports vs Team Secret,Split,Global Esports,13,8,5,0,Team Secret,7,3,4,0,45:52
Valorant Champions 2025,Playoffs,Lower Round 2,MIBR vs DRX,Bind,MIBR,10,6,4,0,DRX,13,7,6,0,58:37
VCT 2025: Pacific Stage 2,Group Stage,Week 2,BOOM Esports vs Paper Rex,Lotus,BOOM Esports,10,3,7,0,Paper Rex,13,4,9,0,46:58
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Team Heretics vs BBL Esports,Icebox,Team Heretics,14,6,6,2,BBL Esports,12,6,6,0,59:03
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 2,BOOM Esports vs Paper Rex,Lotus,BOOM Esports,5,3,2,0,Paper Rex,13,4,9,0,45:13
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,KRÜ Esports vs LOUD,Split,KRÜ Esports,10,6,4,0,LOUD,13,7,6,0,56:04
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Natus Vincere vs Karmine Corp,Sunset,Natus Vincere,14,7,5,2,Karmine Corp,12,7,5,0,1:02:25
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Sentinels vs Wolves Esports,Split,Sentinels,13,4,9,0,Wolves Esports,11,3,8,0,1:01:08
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Apeks vs Natus Vincere,Split,Apeks,6,3,3,0,Natus Vincere,13,4,9,0,44:08
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Natus Vincere vs Team Heretics,Haven,Natus Vincere,3,2,1,0,Team Heretics,13,3,10,0,48:29
VCT 2025: EMEA Kickoff,Main Event,Lower Final,Team Heretics vs Team Liquid,Fracture,Team Heretics,7,4,3,0,Team Liquid,13,5,8,0,41:51
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,DRX vs Nongshim RedForce,Fracture,DRX,13,6,7,0,Nongshim RedForce,9,3,6,0,48:44
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,Ascent,Paper Rex,13,4,9,0,G2 Esports,11,3,8,0,57:03
VCT 2025: Americas Stage 2,Group Stage,Week 5,KRÜ Esports vs NRG,Sunset,KRÜ Esports,13,7,6,0,Mega Minors,6,1,5,0,1:01:21
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Rex Regum Qeon vs Gen.G,Ascent,Rex Regum Qeon,6,2,4,0,Gen.G,13,3,10,0,45:39
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,Rex Regum Qeon vs DRX,Lotus,Rex Regum Qeon,14,7,5,2,DRX,12,7,5,0,1:00:19
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,Pearl,Rex Regum Qeon,14,6,6,2,Paper Rex,12,6,6,0,58:35
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,EDward Gaming vs T1,Bind,EDward Gaming,6,5,1,0,T1,13,6,7,0,43:41
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,ZETA DIVISION vs Nongshim RedForce,Haven,ZETA DIVISION,9,4,5,0,Nongshim RedForce,13,5,8,0,43:54
VCT 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,Split,T1,15,9,3,3,Gen.G,17,9,3,5,1:14:51
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,KRÜ Esports vs 2Game Esports,Split,KRÜ Esports,13,10,3,0,2Game Esports,2,0,2,0,38:23
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,Abyss,Xi Lai Gaming,10,5,5,0,Sentinels,13,6,7,0,51:55
Valorant Champions 2025,Group Stage,Elimination (D),G2 Esports vs Dragon Ranger Gaming,Abyss,G2 Esports,13,6,7,0,Dragon Ranger Gaming,7,1,6,0,44:41
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Paper Rex vs DetonatioN FocusMe,Lotus,Paper Rex,13,6,7,0,DetonatioN FocusMe,7,1,6,0,51:18
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 1,Rex Regum Qeon vs Gen.G,Corrode,Rex Regum Qeon,13,7,6,0,Gen.G,6,1,5,0,41:22
VCT 2025: EMEA Kickoff,Main Event,Lower Round 2,GIANTX vs Team Liquid,Fracture,GIANTX,8,4,4,0,Team Liquid,13,5,8,0,51:00
VCT 2025: Pacific Kickoff,Main Event,Grand Final,DRX vs T1,Bind,DRX,12,7,5,0,T1,14,7,5,2,1:02:47
VCT 2025: Americas Stage 2,Group Stage,Week 4,LEVIATÁN vs KRÜ Esports,Haven,LEVIATÁN,13,4,9,0,KRÜ Esports,10,2,8,0,47:12
VCT 2025: China Stage 2,Group Stage,Week 3,Nova Esports vs All Gamers,Haven,Nova Esports,13,8,5,0,All Gamers,10,6,4,0,1:13:29
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Icebox,Rex Regum Qeon,8,8,0,0,Wolves Esports,13,9,4,0,48:42
VCT 2025: China Stage 1,Playoffs,Grand Final,Xi Lai Gaming vs Bilibili Gaming,Fracture,Xi Lai Gaming,15,5,7,3,Bilibili Gaming,13,5,7,1,1:24:03
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,100 Thieves vs NRG,Lotus,100 Thieves,14,6,6,2,Mega Minors,12,6,6,0,1:19:06
VCT 2025: Americas Stage 2,Group Stage,Week 1,MIBR vs KRÜ Esports,Corrode,MIBR,13,8,5,0,KRÜ Esports,9,5,4,0,57:52
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Paper Rex vs BOOM Esports,Fracture,Paper Rex,9,5,4,0,BOOM Esports,13,6,7,0,44:15
VCT 2025: Pacific Stage 1,Playoffs,Grand Final,Gen.G vs Rex Regum Qeon,Icebox,Gen.G,11,6,5,0,Rex Regum Qeon,13,7,6,0,54:26
VCT 2025: China Stage 1,Group Stage,Week 4,All Gamers vs JDG Esports,Split,All Gamers,12,5,7,0,JDG Esports,14,5,7,2,1:18:13
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,Abyss,Karmine Corp,10,7,3,0,Natus Vincere,13,8,5,0,1:09:50
VCT 2025: EMEA Kickoff,Main Event,Lower Round 4,FUT Esports vs Team Liquid,Abyss,FUT Esports,7,4,3,0,Team Liquid,13,5,8,0,1:06:22
VCT 2025: Americas Kickoff,Main Event,Upper Final,Sentinels vs G2 Esports,Pearl,Sentinels,7,5,2,0,G2 Esports,13,6,7,0,45:55
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,FNATIC,13,8,5,0,DRX,5,1,4,0,44:32
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,GIANTX vs Natus Vincere,Bind,GIANTX,5,3,2,0,Natus Vincere,13,4,9,0,38:30
VCT 2025: Pacific Stage 2,Group Stage,Week 1,DRX vs Gen.G,Haven,DRX,8,3,5,0,Gen.G,13,4,9,0,51:12
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Rex Regum Qeon vs Team Secret,Ascent,Rex Regum Qeon,13,9,3,1,Team Secret,15,9,3,3,1:19:12
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Haven,Paper Rex,13,8,5,0,Rex Regum Qeon,7,3,4,0,41:43
VCT 2025: China Stage 2,Group Stage,Week 2,All Gamers vs Wolves Esports,Bind,All Gamers,13,10,3,0,Wolves Esports,2,0,2,0,49:51
VCT 2025: China Stage 2,Group Stage,Week 3,Wolves Esports vs Dragon Ranger Gaming,Lotus,Wolves Esports,14,7,5,2,Dragon Ranger Gaming,12,7,5,0,1:11:53
VCT 2025: China Stage 2,Playoffs,Lower Round 2,Xi Lai Gaming vs All Gamers,Ascent,Xi Lai Gaming,13,9,4,0,All Gamers,8,5,3,0,1:04:48
VCT 2025: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs Karmine Corp,Fracture,BBL Esports,13,7,6,0,Karmine Corp,8,3,5,0,46:23
VCT 2025: China Stage 1,Playoffs,Lower Round 3,EDward Gaming vs Bilibili Gaming,Pearl,EDward Gaming,11,5,6,0,Bilibili Gaming,13,6,7,0,57:30
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,Nongshim RedForce vs Rex Regum Qeon,Pearl,Nongshim RedForce,13,6,7,0,Rex Regum Qeon,8,2,6,0,52:15
VCT 2025: Pacific Kickoff,Main Event,Grand Final,DRX vs T1,Split,DRX,13,7,6,0,T1,11,6,5,0,56:48
Valorant Champions 2025,Group Stage,Decider (A),GIANTX vs Xi Lai Gaming,Ascent,GIANTX,13,5,8,0,Xi Lai Gaming,10,3,7,0,47:59
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,Corrode,Paper Rex,13,6,6,1,G2 Esports,15,6,6,3,1:03:55
VCT 2025: Americas Stage 2,Group Stage,Week 1,MIBR vs KRÜ Esports,Ascent,MIBR,1,1,0,0,KRÜ Esports,13,2,11,0,30:42
VCT 2025: EMEA Stage 2,Playoffs,Grand Final,Team Liquid vs GIANTX,Lotus,Team Liquid,13,5,8,0,GIANTX,9,2,7,0,42:05
Valorant Masters Toronto 2025,Playoffs,Lower Final,Wolves Esports vs FNATIC,Icebox,Wolves Esports,4,3,1,0,FNATIC,13,4,9,0,37:08
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,TALON vs Nongshim RedForce,Bind,TALON,13,9,4,0,Nongshim RedForce,10,7,3,0,52:01
VCT 2025: Americas Stage 2,Group Stage,Week 4,LOUD vs 100 Thieves,Lotus,LOUD,12,6,6,0,100 Thieves,14,6,6,2,1:01:52
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,LEVIATÁN vs Cloud9,Corrode,LEVIATÁN,10,8,2,0,Cloud9,13,9,4,0,1:08:00
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,FNATIC vs BBL Esports,Ascent,FNATIC,7,5,2,0,BBL Esports,13,6,7,0,44:02
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Gen.G vs Team Secret,Lotus,Gen.G,13,10,3,0,Team Secret,3,1,2,0,55:35
VCT 2025: Pacific Stage 1,Group Stage,Week 5,T1 vs TALON,Icebox,T1,6,6,0,0,TALON,13,7,6,0,48:30
VCT 2025: Americas Stage 1,Group Stage,Week 2,NRG vs FURIA,Fracture,Mega Minors,13,10,3,0,FURIA,4,2,2,0,37:29
VCT 2025: Americas Stage 1,Group Stage,Week 4,FURIA vs Cloud9,Pearl,FURIA,1,1,0,0,Cloud9,13,2,11,0,33:41
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),DRX vs Team Vitality,Bind,DRX,8,4,4,0,Team Vitality,13,5,8,0,58:50
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,GIANTX,13,4,9,0,Sentinels,9,1,8,0,51:34
VCT 2025: Americas Stage 2,Group Stage,Week 5,2Game Esports vs Sentinels,Lotus,2Game Esports,4,2,2,0,Sentinels,13,3,10,0,36:33
VCT 2025: Americas Stage 2,Playoffs,Lower Round 1,100 Thieves vs Evil Geniuses,Corrode,100 Thieves,14,4,8,2,Evil Geniuses,12,4,8,0,1:02:16
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Team Liquid vs Apeks,Corrode,Team Liquid,11,8,3,0,Apeks,13,9,4,0,56:02
VCT 2025: China Stage 2,Playoffs,Upper Final,Dragon Ranger Gaming vs Bilibili Gaming,Lotus,Dragon Ranger Gaming,9,5,4,0,Bilibili Gaming,13,6,7,0,47:21
VCT 2025: China Stage 2,Playoffs,Lower Round 3,EDward Gaming vs Xi Lai Gaming,Corrode,EDward Gaming,13,9,4,0,Xi Lai Gaming,5,2,3,0,38:20
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs Team Secret,Haven,Rex Regum Qeon,15,9,3,3,Team Secret,13,9,3,1,1:05:58
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,Fracture,Karmine Corp,10,4,6,0,GIANTX,13,5,8,0,51:41
VCT 2025: EMEA Kickoff,Main Event,Upper Final,Team Vitality vs Team Heretics,Haven,Team Vitality,13,8,5,0,Team Heretics,10,6,4,0,1:05:29
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,FNATIC vs Karmine Corp,Haven,FNATIC,12,5,7,0,Karmine Corp,14,5,7,2,1:04:18
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 2,GIANTX vs FNATIC,Lotus,GIANTX,13,7,6,0,FNATIC,10,5,5,0,53:22
VCT 2025: China Stage 2,Group Stage,Week 3,Nova Esports vs All Gamers,Corrode,Nova Esports,9,6,3,0,All Gamers,13,7,6,0,54:54
Valorant Masters Toronto 2025,Playoffs,Lower Final,Wolves Esports vs FNATIC,Lotus,Wolves Esports,13,6,7,0,FNATIC,10,4,6,0,54:40
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,Team Liquid vs Natus Vincere,Split,Team Liquid,13,9,4,0,Natus Vincere,4,1,3,0,38:16
VCT 2025: China Stage 1,Playoffs,Lower Final,Wolves Esports vs Bilibili Gaming,Pearl,Wolves Esports,9,7,2,0,Bilibili Gaming,13,8,5,0,1:14:49
VCT 2025: Americas Kickoff,Main Event,Upper Semifinals,G2 Esports vs LEVIATÁN,Pearl,G2 Esports,13,8,5,0,LEVIATÁN,5,1,4,0,55:44
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Sunset,Team Vitality,10,6,4,0,GIANTX,13,7,6,0,51:20
VCT 2025: China Stage 2,Playoffs,Upper Quarterfinals,All Gamers vs TYLOO,Icebox,All Gamers,11,6,5,0,TYLOO,13,7,6,0,55:59
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,G2 Esports vs Paper Rex,Lotus,G2 Esports,11,6,5,0,Paper Rex,13,7,6,0,54:24
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Team Vitality vs Natus Vincere,Haven,Team Vitality,5,4,1,0,Natus Vincere,13,5,8,0,49:15
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,Fracture,Team Liquid,10,5,5,0,KOI,13,6,7,0,58:08
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Rex Regum Qeon vs Team Secret,Pearl,Rex Regum Qeon,13,11,2,0,Team Secret,4,3,1,0,50:02
VCT 2025: Americas Kickoff,Main Event,Upper Semifinals,LOUD vs Sentinels,Lotus,LOUD,13,6,7,0,Sentinels,11,5,6,0,1:12:39
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Sunset,TALON,12,4,8,0,Rex Regum Qeon,14,4,8,2,58:39
VCT 2025: China Stage 2,Group Stage,Week 3,Wolves Esports vs Dragon Ranger Gaming,Icebox,Wolves Esports,11,7,4,0,Dragon Ranger Gaming,13,8,5,0,50:37
Valorant Masters Toronto 2025,Playoffs,Grand Final,Paper Rex vs FNATIC,Pearl,Paper Rex,13,5,8,0,FNATIC,10,3,7,0,52:55
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Apeks vs FNATIC,Split,Apeks,14,4,8,2,FNATIC,16,4,8,4,1:16:11
Valorant Masters Bangkok 2025,Playoffs,Lower Round 1,T1 vs Team Vitality,Haven,T1,13,8,5,0,Team Vitality,4,0,4,0,36:14
VCT 2025: Americas Kickoff,Main Event,Grand Final,G2 Esports vs Sentinels,Split,G2 Esports,4,3,1,0,Sentinels,13,4,9,0,49:03
VCT 2025: China Stage 2,Playoffs,Lower Final,Bilibili Gaming vs EDward Gaming,Bind,Bilibili Gaming,12,6,6,0,EDward Gaming,14,6,6,2,1:14:50
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Team Liquid vs FNATIC,Split,Team Liquid,10,7,3,0,FNATIC,13,8,5,0,1:14:44
VCT 2025: China Stage 1,Group Stage,Week 2,Bilibili Gaming vs JDG Esports,Fracture,Bilibili Gaming,13,4,9,0,JDG Esports,8,0,8,0,44:08
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Gentle Mates vs BBL Esports,Sunset,Gentle Mates,3,3,0,0,BBL Esports,13,4,9,0,34:04
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 1,Rex Regum Qeon vs Gen.G,Sunset,Rex Regum Qeon,13,2,11,0,Gen.G,11,1,10,0,55:16
VCT 2025: Pacific Stage 1,Group Stage,Week 4,DRX vs BOOM Esports,Ascent,DRX,8,7,1,0,BOOM Esports,13,8,5,0,51:23
VCT 2025: China Stage 1,Playoffs,Lower Round 2,EDward Gaming vs Dragon Ranger Gaming,Split,EDward Gaming,11,6,5,0,Dragon Ranger Gaming,13,7,6,0,48:20
VCT 2025: Americas Stage 1,Group Stage,Week 1,G2 Esports vs FURIA,Lotus,G2 Esports,13,3,10,0,FURIA,10,1,9,0,1:06:57
VCT 2025: Americas Stage 1,Group Stage,Week 2,100 Thieves vs Evil Geniuses,Fracture,100 Thieves,13,6,7,0,Evil Geniuses,10,4,6,0,54:51
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),EDward Gaming vs G2 Esports,Pearl,EDward Gaming,16,6,6,4,G2 Esports,18,6,6,6,1:21:52
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,TALON vs Global Esports,Abyss,TALON,13,6,7,0,Global Esports,9,3,6,0,51:05
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Team Liquid vs GIANTX,Sunset,Team Liquid,13,11,2,0,GIANTX,4,3,1,0,30:22
VCT 2025: China Stage 2,Playoffs,Lower Round 1,All Gamers vs FunPlus Phoenix,Icebox,All Gamers,13,8,5,0,FunPlus Phoenix,6,2,4,0,46:41
VCT 2025: Pacific Stage 1,Group Stage,Week 1,TALON vs Team Secret,Haven,TALON,13,5,8,0,Team Secret,9,2,7,0,46:41
VCT 2025: China Stage 1,Playoffs,Grand Final,Xi Lai Gaming vs Bilibili Gaming,Haven,Xi Lai Gaming,14,7,5,2,Bilibili Gaming,12,7,5,0,57:01
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,Bind,Team Liquid,13,6,7,0,KOI,10,4,6,0,52:51
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 3,T1 vs Rex Regum Qeon,Haven,T1,13,7,5,1,Rex Regum Qeon,15,7,5,3,1:01:35
VCT 2025: China Stage 2,Playoffs,Upper Quarterfinals,EDward Gaming vs Dragon Ranger Gaming,Lotus,EDward Gaming,12,7,5,0,Dragon Ranger Gaming,14,7,5,2,1:00:43
VCT 2025: Americas Stage 2,Group Stage,Week 1,100 Thieves vs NRG,Sunset,100 Thieves,13,10,3,0,Mega Minors,4,2,2,0,32:59
VCT 2025: EMEA Stage 2,Group Stage,Week 5,FUT Esports vs BBL Esports,Ascent,FUT Esports,9,4,5,0,BBL Esports,13,5,8,0,48:06
VCT 2025: China Stage 1,Group Stage,Week 4,Bilibili Gaming vs Wolves Esports,Lotus,Bilibili Gaming,10,3,7,0,Wolves Esports,13,4,9,0,1:02:00
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,MIBR vs 100 Thieves,Split,MIBR,13,7,6,0,100 Thieves,10,5,5,0,1:06:50
Valorant Masters Bangkok 2025,Playoffs,Lower Final,EDward Gaming vs T1,Bind,EDward Gaming,4,3,1,0,T1,13,4,9,0,34:49
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,Cloud9 vs MIBR,Pearl,Cloud9,7,4,3,0,MIBR,13,5,8,0,47:23
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 3,GIANTX vs Natus Vincere,Sunset,GIANTX,13,7,6,0,Natus Vincere,6,1,5,0,41:06
VCT 2025: China Stage 2,Playoffs,Lower Final,Bilibili Gaming vs EDward Gaming,Ascent,Bilibili Gaming,13,6,7,0,EDward Gaming,7,1,6,0,43:09
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Haven,Xi Lai Gaming,8,5,3,0,G2 Esports,13,6,7,0,44:46
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Liquid vs BBL Esports,Fracture,Team Liquid,13,9,4,0,BBL Esports,7,4,3,0,56:20
VCT 2025: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs Paper Rex,Ascent,DetonatioN FocusMe,13,4,9,0,Paper Rex,11,3,8,0,52:58
VCT 2025: Americas Stage 1,Group Stage,Week 5,Evil Geniuses vs LOUD,Split,Evil Geniuses,13,4,9,0,LOUD,11,3,8,0,57:18
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,Team Vitality vs G2 Esports,Lotus,Team Vitality,9,6,3,0,G2 Esports,13,7,6,0,54:57
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,FUT Esports vs FNATIC,Abyss,FUT Esports,13,5,8,0,FNATIC,10,3,7,0,1:10:32
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,Team Heretics,12,4,8,0,MIBR,14,4,8,2,1:01:32
